District,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105,2741239
Agra,Uttar Pradesh,4041,4418797
Ahmadabad,Gujarat,8107,7214225
Ahmadnagar,Maharashtra,17048,4543159
Aizawl,Mizoram,3576,400309
Ajmer,Rajasthan,8481,2583052
Akola,Maharashtra,5676,1813906
Alappuzha,Kerala,1415,2127789
Aligarh,Uttar Pradesh,3650,3673889
Alirajpur,Madhya Pradesh,3182,728999
Allahabad,Uttar Pradesh,5482,5954391
Almora,Uttarakhand,3144,622506
Alwar,Rajasthan,8380,3674179
Ambala,Haryana,1574,1128350
Ambedkar Nagar,Uttar Pradesh,2350,2397888
Amravati,Maharashtra,12210,2888445
Amreli,Gujarat,7397,1514190
Amritsar,Punjab,2683,2490656
Anand,Gujarat,3204,2092745
Anantapur,Andhra Pradesh,19130,4081148
Anantnag,Jammu and Kashmir,3574,1078692
Anjaw,Arunachal Pradesh,6190,21167
Anugul,Orissa,6375,1273821
Anuppur,Madhya Pradesh,3747,749237
Araria,Bihar,2830,2811569
Ariyalur,Tamil Nadu,1940,754894
Arwal,Bihar,638,700843
Ashoknagar,Madhya Pradesh,4674,845071
Auraiya,Uttar Pradesh,2016,1379545
Aurangabad,Maharashtra,3305,2540073
Aurangabad,Maharashtra,10107,3701282
Azamgarh,Uttar Pradesh,4054,4613913
Badgam,Jammu and Kashmir,1361,753745
Bagalkot,Karnataka,6552,1889752
Bageshwar,Uttarakhand,2241,259898
Baghpat,Uttar Pradesh,1321,1303048
Bahraich,Uttar Pradesh,5237,3487731
Baksa,Assam,2457,950075
Balaghat,Madhya Pradesh,9229,1701698
Balangir,Orissa,6575,1648997
Baleshwar,Orissa,3806,2320529
Ballia,Uttar Pradesh,2981,3239774
Balrampur,Uttar Pradesh,3349,2148665
Banaskantha,Gujarat,10743,3120506
Banda,Uttar Pradesh,4408,1799410
Bandipora,Jammu and Kashmir,345,392232
Bangalore,Karnataka,2196,9621551
Bangalore Rural,Karnataka,2298,990923
Banka,Bihar,3020,2034763
Bankura,West Bengal,6882,3596674
Banswara,Rajasthan,4522,1797485
Barabanki,Uttar Pradesh,4402,3260699
Baramula,Jammu and Kashmir,4243,1008039
Baran,Rajasthan,6992,1222755
Barddhaman,West Bengal,7024,7717563
Bareilly,Uttar Pradesh,4120,4448359
Bargarh,Orissa,5837,1481255
Barmer,Rajasthan,28387,2603751
Barnala,Punjab,1482,595527
Barpeta,Assam,2282,1693622
Barwani,Madhya Pradesh,5427,1385881
Bastar,Chhattisgarh,10470,1413199
Basti,Uttar Pradesh,2688,2464464
Bathinda,Punjab,3353,1388525
Baudh,Orissa,3098,441162
Begusarai,Bihar,1918,2970541
Belgaum,Karnataka,13433,4779661
Bellary,Karnataka,8461,2452595
Betul,Madhya Pradesh,10043,1575362
Bhadrak,Orissa,2505,1506337
Bhagalpur,Bihar,2569,3037766
Bhandara,Maharashtra,4087,1200334
Bharatpur,Rajasthan,5066,2548462
Bharuch,Gujarat,6509,1551019
Bhavnagar,Gujarat,10034,2880365
Bhilwara,Rajasthan,10455,2408523
Bhind,Madhya Pradesh,4459,1703005
Bhiwani,Haryana,4778,1634445
Bhojpur,Bihar,2395,2728407
Bhopal,Madhya Pradesh,2772,2371061
Bid,Maharashtra,10693,2585049
Bidar,Karnataka,5448,1703300
Bijapur,Karnataka,8530,255230
Bijapur,Karnataka,10498,2177331
Bijnor,Uttar Pradesh,4561,3682713
Bikaner,Rajasthan,30239,2363937
Bilaspur,Chhattisgarh,1167,381956
Bilaspur,Chhattisgarh,8272,2663629
Birbhum,West Bengal,4545,3502404
Bishnupur,Manipur,496,237399
Bokaro,Jharkhand,2883,2062330
Bongaigaon,Assam,1093,738804
Budaun,Uttar Pradesh,5168,3681896
Bulandshahar,Uttar Pradesh,4512,3499171
Buldana,Maharashtra,9661,2586258
Bundi,Rajasthan,5776,1110906
Burhanpur,Madhya Pradesh,3427,757847
Buxar,Bihar,1703,1706352
Cachar,Assam,3786,1736617
Central,#N/A,21,582320
Chamarajanagar,Karnataka,5648,1020791
Chamba,Himachal Pradesh,6522,519080
Chamoli,Uttarakhand,8030,391605
Champawat,Uttarakhand,1766,259648
Champhai,Mizoram,3185,125745
Chandauli,Uttar Pradesh,2541,1952756
Chandel,Manipur,3313,144182
Chandigarh,Chandigarh,114,1055450
Chandrapur,Maharashtra,11443,2204307
Changlang,Arunachal Pradesh,4662,148226
Chatra,Jharkhand,3718,1042886
Chennai,Tamil Nadu,175,4646732
Chhatarpur,#N/A,8687,1762375
Chhindwara,Madhya Pradesh,11815,2090922
Chikkaballapura,Karnataka,4244,1255104
Chikmagalur,Karnataka,7202,1137961
Chirang,Assam,1923,482162
Chitradurga,Karnataka,8436,1659456
Chitrakoot,Uttar Pradesh,3216,991730
Chittaurgarh,Rajasthan,7822,1544338
Chittoor,Andhra Pradesh,15152,4174064
Churachandpur,Manipur,4570,274143
Churu,Rajasthan,13835,2039547
Coimbatore,Tamil Nadu,4732,3458045
Cuddalore,Tamil Nadu,3703,2605914
Cuttack,Orissa,3932,2624470
Dadra & Nagar Haveli,#N/A,491,343709
Dahod,#N/A,3642,2127086
Dakshin Bastar Dantewada,#N/A,8298,533638
Dakshin Dinajpur,West Bengal,2219,1676276
Dakshina Kannada,Karnataka,4861,2089649
Daman,Daman and Diu,72,191173
Damoh,Madhya Pradesh,7306,1264219
Darbhanga,Bihar,2279,3937385
Darjiling,West Bengal,3149,1846823
Darrang,Assam,1585,928500
Datia,Madhya Pradesh,2902,786754
Dausa,Rajasthan,3432,1634409
Davanagere,Karnataka,5924,1945497
Debagarh,Orissa,2940,312520
Dehradun,Uttarakhand,3088,1696694
Deoghar,Jharkhand,2477,1492073
Deoria,Uttar Pradesh,2540,3100946
Dewas,Madhya Pradesh,7020,1563715
Dhalai,Tripura,2400,378230
Dhamtari,Chhattisgarh,4084,799781
Dhanbad,Jharkhand,2040,2684487
Dhar,Madhya Pradesh,8153,2185793
Dharmapuri,Tamil Nadu,4497,1506843
Dharwad,Karnataka,4260,1847023
Dhaulpur,Rajasthan,3033,1206516
Dhemaji,Assam,3237,686133
Dhenkanal,Orissa,4452,1192811
Dhubri,Assam,2176,1949258
Dhule,Maharashtra,7195,2050862
Dibang Valley,Arunachal Pradesh,9129,8004
Dibrugarh,Assam,3381,1326335
Dima Hasao,Assam,4888,214102
Dimapur,Nagaland,927,378811
Dindigul,Tamil Nadu,6036,2159775
Dindori,Madhya Pradesh,7470,704524
Diu,Daman and Diu,39,52074
Doda,Jammu and Kashmir,8912,409936
Dumka,Jharkhand,3761,1321442
Dungarpur,Rajasthan,3770,1388552
Durg,Chhattisgarh,8535,3343872
East,#N/A,63,1709346
East District,#N/A,954,283583
East Garo Hills,Meghalaya,2603,317917
East Godavari,Andhra Pradesh,10807,5154296
East Kameng,Arunachal Pradesh,4134,78690
East Khasi Hills,Meghalaya,2748,825922
East Siang,Arunachal Pradesh,3603,99214
Ernakulam,Kerala,3063,3282388
Erode,Tamil Nadu,5760,2251744
Etah,Uttar Pradesh,2431,1774480
Etawah,Uttar Pradesh,2311,1581810
Faizabad,Uttar Pradesh,2341,2470996
Faridabad,Haryana,741,1809733
Faridkot,Punjab,1458,617508
Farrukhabad,Uttar Pradesh,2181,1885204
Fatehabad,Haryana,2538,942011
Fatehgarh Sahib,Punjab,1180,600163
Fatehpur,Uttar Pradesh,4152,2632733
Firozabad,Uttar Pradesh,2407,2498156
Firozpur,Punjab,5305,2029074
Gadag,Karnataka,4657,1064570
Gadchiroli,Maharashtra,14412,1072942
Gajapati,Orissa,4325,577817
Ganderbal,Jammu and Kashmir,259,297446
Gandhinagar,Gujarat,2140,1391753
Ganganagar,Rajasthan,10978,1969168
Ganjam,Orissa,8206,3529031
Garhwa,Jharkhand,4093,1322784
Garhwal,#N/A,5329,687271
Gautam Buddha Nagar,Uttar Pradesh,1282,1648115
Gaya,Bihar,4976,4391418
Ghaziabad,Uttar Pradesh,1179,4681645
